Size,Combine1,Combine2,Combine3,Combine4,Combine5,Combine6,Combine7
40000,1202000,1202000,1020000,1038000,954000,96000,968000
50000,1208000,1202000,1024000,1038000,952000,76000,942000
68000,1202000,1204000,1020000,1042000,950000,76000,944000
94000,1202000,1202000,1018000,1036000,952000,74000,940000
128000,1202000,1218000,1038000,1038000,940000,76000,944000
170000,1206000,1246000,1034000,1036000,940000,76000,940000
220000,1204000,1204000,1040000,1040000,1028000,92000,950000
278000,1204000,1232000,1040000,1036000,970000,94000,942000
344000,1210000,1234000,1036000,1038000,986000,90000,942000
418000,1202000,1192000,1038000,1038000,998000,86000,936000
